Match,Feature,FeatureCategory,Team,Value,ConfidencePct,PredictedOutcome
Nott'ham Forest vs Chelsea,xG_L5,Attack,Away,1.3666666666666665,52.8,Away Win
Nott'ham Forest vs Chelsea,G_L5,Attack,Away,1.0,52.8,Away Win
Nott'ham Forest vs Chelsea,ShotsOnTarget_L5,Other,Away,4.666666666666667,52.8,Away Win
Nott'ham Forest vs Chelsea,xGA_L5,Attack,Away,1.8,52.8,Away Win
Nott'ham Forest vs Chelsea,GA_L5,Attack,Away,1.6666666666666667,52.8,Away Win
Nott'ham Forest vs Chelsea,ShotsOnTargetA_L5,Other,Away,33.0,52.8,Away Win
Nott'ham Forest vs Chelsea,HomeOverall_xG_L5,Attack,Home,0.76,52.8,Away Win
Nott'ham Forest vs Chelsea,HomeOverall_G_L5,Attack,Home,0.2,52.8,Away Win
Nott'ham Forest vs Chelsea,HomeOverall_ShotsOnTarget_L5,Other,Home,25.8,52.8,Away Win
Nott'ham Forest vs Chelsea,HomeOverall_xGA_L5,Attack,Home,1.98,52.8,Away Win
Nott'ham Forest vs Chelsea,HomeOverall_GA_L5,Attack,Home,2.0,52.8,Away Win
Nott'ham Forest vs Chelsea,HomeOverall_ShotsOnTargetA_L5,Other,Home,14.4,52.8,Away Win
Nott'ham Forest vs Chelsea,AwayOverall_xG_L5,Attack,Away,1.3199999999999998,52.8,Away Win
Nott'ham Forest vs Chelsea,AwayOverall_G_L5,Attack,Away,1.6,52.8,Away Win
Nott'ham Forest vs Chelsea,AwayOverall_ShotsOnTarget_L5,Other,Away,21.4,52.8,Away Win
Nott'ham Forest vs Chelsea,AwayOverall_xGA_L5,Attack,Away,1.66,52.8,Away Win
Nott'ham Forest vs Chelsea,AwayOverall_GA_L5,Attack,Away,1.6,52.8,Away Win
Nott'ham Forest vs Chelsea,AwayOverall_ShotsOnTargetA_L5,Other,Away,24.6,52.8,Away Win
Nott'ham Forest vs Chelsea,Away_xG_L5,Attack,Away,1.4666666666666668,52.8,Away Win
Nott'ham Forest vs Chelsea,Away_G_L5,Attack,Away,2.6666666666666665,52.8,Away Win
Nott'ham Forest vs Chelsea,Away_ShotsOnTarget_L5,Other,Away,42.0,52.8,Away Win
Nott'ham Forest vs Chelsea,Away_xGA_L5,Attack,Away,1.3,52.8,Away Win
Nott'ham Forest vs Chelsea,Away_GA_L5,Attack,Away,1.6666666666666667,52.8,Away Win
Nott'ham Forest vs Chelsea,Away_ShotsOnTargetA_L5,Other,Away,4.0,52.8,Away Win
Sunderland vs Wolves,xG_L5,Attack,Away,1.0666666666666669,39.9,Draw
Sunderland vs Wolves,G_L5,Attack,Away,2.0,39.9,Draw
Sunderland vs Wolves,ShotsOnTarget_L5,Other,Away,3.6666666666666665,39.9,Draw
Sunderland vs Wolves,xGA_L5,Attack,Away,0.8666666666666667,39.9,Draw
Sunderland vs Wolves,GA_L5,Attack,Away,0.6666666666666666,39.9,Draw
Sunderland vs Wolves,ShotsOnTargetA_L5,Other,Away,32.333333333333336,39.9,Draw
Sunderland vs Wolves,HomeOverall_xG_L5,Attack,Home,1.04,39.9,Draw
Sunderland vs Wolves,HomeOverall_G_L5,Attack,Home,0.8,39.9,Draw
Sunderland vs Wolves,HomeOverall_ShotsOnTarget_L5,Other,Home,23.2,39.9,Draw
Sunderland vs Wolves,HomeOverall_xGA_L5,Attack,Home,1.4400000000000002,39.9,Draw
Sunderland vs Wolves,HomeOverall_GA_L5,Attack,Home,0.8,39.9,Draw
Sunderland vs Wolves,HomeOverall_ShotsOnTargetA_L5,Other,Home,13.0,39.9,Draw
Sunderland vs Wolves,AwayOverall_xG_L5,Attack,Away,1.02,39.9,Draw
Sunderland vs Wolves,AwayOverall_G_L5,Attack,Away,1.0,39.9,Draw
Sunderland vs Wolves,AwayOverall_ShotsOnTarget_L5,Other,Away,13.6,39.9,Draw
Sunderland vs Wolves,AwayOverall_xGA_L5,Attack,Away,1.12,39.9,Draw
Sunderland vs Wolves,AwayOverall_GA_L5,Attack,Away,1.8,39.9,Draw
Sunderland vs Wolves,AwayOverall_ShotsOnTargetA_L5,Other,Away,25.6,39.9,Draw
Sunderland vs Wolves,Away_xG_L5,Attack,Away,0.7000000000000001,39.9,Draw
Sunderland vs Wolves,Away_G_L5,Attack,Away,0.3333333333333333,39.9,Draw
Sunderland vs Wolves,Away_ShotsOnTarget_L5,Other,Away,28.0,39.9,Draw
Sunderland vs Wolves,Away_xGA_L5,Attack,Away,1.2,39.9,Draw
Sunderland vs Wolves,Away_GA_L5,Attack,Away,1.0,39.9,Draw
Sunderland vs Wolves,Away_ShotsOnTargetA_L5,Other,Away,3.6666666666666665,39.9,Draw
Burnley vs Leeds United,xG_L5,Attack,Away,0.6666666666666666,37.2,Draw
